Year	Interactions	Transitivity	CPL	Assortativity
1999.0	0.0	0.0	0.0	0.0
1999.15	1174.775625	2.61403903923e-05	0.140625	4.08895560521e-07
1999.3	3132.735	6.97077077125e-05	0.375	1.09038816139e-06
1999.45	5873.87812501	0.000130701951961	0.703125000001	2.04447780261e-06
1999.6	9398.20500001	0.000209123123138	1.125	3.27116448417e-06
1999.75	13705.715625	0.000304971221242	1.640625	4.77044820608e-06
1999.9	18796.41	0.000418246246275	2.25	6.54232896834e-06
2000.05	24220.748125	0.00052203280279	2.9205859375	7.08556795461e-06
2000.2	29218.9317284	0.000577496000085	3.59561728395	6.31397301031e-06
2000.35	34064.229225	0.000606073529648	4.293525	7.00932671174e-06
2000.5	31006.977225	0.000459551817106	4.062525	1.0249353782e-05
2000.65	27751.965625	0.000318914861781	3.8125	1.93558614425e-05
2000.8	24580.592025	0.000198069803984	3.5646	3.41856124998e-05
2000.95	21743.063625	0.000105640922392	3.338625	5.32335732618e-05
2001.1	19138.493025	4.5445812819e-05	2.902025	6.24726867823e-05
2001.25	16902.7374	1.53354092429e-05	2.287025	5.83822090093e-05
2001.4	15311.4555	8.02133403542e-06	1.655625	4.44419702248e-05
2001.55	14208.609525	9.42962498461e-06	1.095	2.84502567106e-05
2001.7	13058.753125	1.10230575838e-05	0.632499999998	2.22284840837e-05
2001.85	11956.8966	1.26769260321e-05	0.313124999999	2.68718642168e-05
2002.0	10990.0461	1.42463130628e-05	0.148124999999	4.08172617841e-05
2002.15	9977.3221	2.04577916651e-05	0.100525	0.000103231403062
2002.3	9066.339	3.17746393087e-05	0.112725	0.000225392033545
2002.45	8380.4706	4.78186431387e-05	0.105525	0.00039823289462
2002.6	7748.865	6.82369346174e-05	0.0731249999997	0.000620423354178
2002.75	7109.218125	9.20096309055e-05	0.0449999999997	0.000886431484146
2002.9	6512.701725	0.0001172349163	0.0233999999998	0.00117497663413
2003.05	5924.6109	0.000134446605474	0.00989999999994	0.0013941262411
2003.2	5260.5541	0.000130546659126	0.00640000000009	0.00141033355549
2003.35	4629.230625	0.00010989001417	0.0129000000003	0.00124365707358
2003.5	4117.565625	7.64937080238e-05	0.0294000000004	0.000913426518837
2003.65	3578.460625	4.70174378052e-05	0.0531250000005	0.000604707165152
2003.8	3059.165625	2.47016715756e-05	0.0827250000006	0.000349068894069
2003.95	2600.315625	1.09469153258e-05	0.115500000001	0.000164141288929
2004.1	2305.804225	5.45367459073e-06	0.1355	5.39598481882e-05
2004.25	2224.173225	6.13063318506e-06	0.1355	7.38183286514e-06
2004.4	2359.58062501	8.80533289271e-06	0.115499999999	3.93658229329e-07
2004.55	2654.18302501	9.64616161203e-06	0.0827249999995	5.70786914306e-07
2004.7	2982.92062501	1.05764349174e-05	0.0531249999995	1.03558849227e-06
2004.85	3319.83022501	1.15222665933e-05	0.0293999999997	1.76523242886e-06
2005.0	3635.83822501	1.24028343504e-05	0.0128999999998	2.67003582943e-06
2005.15	3724.4394	1.15040908271e-05	0.00362499999989	3.2023600754e-06
2005.3	3597.6906	9.47220627197e-06	0.000224999999966	3.24840454738e-06
2005.45	3267.420525	6.85518802766e-06	1.13686837722e-14	2.68615710882e-06
2005.6	2856.98812499	4.35691399568e-06	1.13686837722e-14	1.91733460149e-06
2005.75	2450.385	2.40990256472e-06	1.13686837722e-14	1.23399497421e-06
2005.9	2080.1394	1.16991464925e-06	1.13686837722e-14	6.90805397173e-07
2006.05	1776.8691	5.90396952843e-07	1.13686837722e-14	2.91871126043e-07
2006.2	1568.2264	4.22114346993e-07	1.13686837722e-14	2.20004166118e-07
2006.35	1469.4825	4.20850645916e-07	1.13686837722e-14	6.7466214951e-07
2006.5	1491.675	2.99137002818e-07	1.13686837722e-14	1.6348661736e-06
2006.65	1516.358125	3.08800809851e-07	1.13686837722e-14	3.06573027326e-06
