Year	Interactions	Transitivity	CPL	Assortativity
1999.0	0.0	0.0	0.0	0.0
1999.15	386.122500001	0.00032814403402	0.0225	0.000595847648861
1999.3	1029.66	0.000875050757387	0.0600000000001	0.00158892706363
1999.45	1930.6125	0.0016407201701	0.1125	0.0029792382443
1999.6	3088.98	0.00262515227216	0.18	0.00476678119088
1999.75	4504.7625	0.00382834706357	0.2625	0.00695155590336
1999.9	6177.96000001	0.00525030454432	0.36	0.00953356238176
2000.05	7888.02683594	0.00650516665414	0.472500000001	0.0117980716667
2000.2	9277.53320988	0.00705917402927	0.600000000001	0.0127633725654
2000.35	10492.2354	0.00723717772088	0.742500000001	0.0130365105686
2000.5	9076.4529	0.00526272033168	0.742500000001	0.0094174852932
2000.65	7604.468125	0.00343380707096	0.742500000001	0.0060866309687
2000.8	6207.562725	0.0019396588945	0.742500000001	0.00339136104256
2000.95	4993.851	0.000881973292787	0.742500000001	0.00151338861476
2001.1	3957.5199	0.000275540452851	0.6921	0.000472525909026
2001.25	3153.269025	3.88673302893e-05	0.5896	0.000141055099232
2001.4	2654.810625	1.40198251775e-05	0.462	0.000202305259829
2001.55	2363.285625	9.03817011247e-06	0.330899999999	0.000262569539898
2001.7	2064.510625	7.26121270831e-06	0.212499999999	0.000332832466056
2001.85	1783.460625	9.02577043885e-06	0.1176	0.000407701458844
2002.0	1541.735625	1.38013314691e-05	0.0515999999998	0.000480414073306
2002.15	1312.171225	3.10651352094e-05	0.0372250000004	0.000390666168913
2002.3	1124.813025	6.22921359149e-05	0.0866250000011	0.000346063213444
2002.45	1001.493225	0.000103876191631	0.210600000002	0.000499599044746
2002.6	895.955625	0.000155699866477	0.405000000003	0.000958325691558
2002.75	790.430625	0.000216973953253	0.658125000004	0.00174149977459
2002.9	693.360225	0.000282796525018	0.949725000004	0.00278646736721
2003.05	602.651025	0.000331862811626	1.192725	0.00377557923064
2003.2	510.523225	0.000333392085825	1.255725	0.00419688835862
2003.35	430.925025	0.000292808981732	1.138725	0.00395080579653
2003.5	373.868025	0.000215306921595	0.841724999996	0.00293300806628
2003.65	314.460625	0.000142778560578	0.562499999996	0.00197257320807
2003.8	257.991225	8.26310094059e-05	0.329399999997	0.00116655735997
2003.95	208.835625	3.90181587658e-05	0.158624999998	0.000571255014969
2004.1	173.974225	1.29820838126e-05	0.0542249999987	0.000202313852742
2004.25	156.8106	1.89029785875e-06	0.00809999999959	3.43345549459e-05
2004.4	158.071500001	2.14652002553e-07	-3.41060513165e-14	1.31965219096e-06
2004.55	172.183725001	4.88725515405e-07	-3.41060513165e-14	1.42480066706e-06
2004.7	187.768125001	9.27034847321e-07	-3.41060513165e-14	1.54058013922e-06
2004.85	203.585400001	1.50184548056e-06	-3.41060513165e-14	1.65776586869e-06
2005.0	218.286900001	2.15030455206e-06	-3.41060513165e-14	1.76640057964e-06
2005.15	221.3676	2.70255955548e-06	-3.41060513165e-14	1.83607063623e-06
2005.3	213.6879	3.03693290901e-06	-3.41060513165e-14	1.85970726231e-06
2005.45	196.0866	3.00780957931e-06	-3.41060513165e-14	1.82999315966e-06
2005.6	174.465	2.81986981741e-06	-3.41060513165e-14	1.77847567733e-06
2005.75	152.893125	2.62854958516e-06	-3.41060513165e-14	1.72534375399e-06
2005.9	133.096725	2.44915450116e-06	-3.41060513165e-14	1.67484794351e-06
2006.05	117.712125	2.26318233938e-06	-3.41060513165e-14	1.54393521966e-06
2006.2	110.030725	2.03259773369e-06	-3.41060513165e-14	1.2385314946e-06
2006.35	110.419725	1.79792373079e-06	-3.41060513165e-14	8.82849952782e-07
2006.5	119.197725001	1.59241748591e-06	-3.41060513165e-14	5.68051415803e-07
2006.65	129.175	1.37631823101e-06	-3.41060513165e-14	3.37764278373e-07
2006.8	139.5609	1.16861528642e-06	-3.41060513165e-14	2.23836702272e-07
2006.95	149.498625001	9.85535562568e-07	-3.41060513165e-14	2.29045832607e-07
2007.1	165.992025001	7.08201792068e-07	-3.41060513165e-14	5.05339065487e-07
2007.25	191.576025001	4.37072661885e-07	-3.41060513165e-14	1.24016418059e-06
2007.4	223.442625001	3.15647652632e-07	-3.41060513165e-14	2.40076685674e-06
2007.55	259.790100002	4.00622951006e-07	-3.41060513165e-14	3.89020928967e-06
2007.7	300.775000002	6.95183240594e-07	-3.41060513165e-14	5.74544147714e-06
2007.85	343.182525002	1.18644132823e-06	-3.41060513165e-14	7.82997751982e-06
2008.0	383.310525001	1.81202768971e-06	-3.41060513165e-14	9.94460902395e-06
2008.15	388.597525	2.17025346559e-06	-3.41060513165e-14	1.06258206267e-05
2008.3	363.169124999	2.18468465608e-06	-3.41060513165e-14	9.95346188329e-06
2008.45	310.956524998	1.77386954799e-06	-3.41060513165e-14	8.00574777674e-06
2008.6	249.688124998	1.22683630033e-06	-3.41060513165e-14	5.70889490307e-06
2008.75	191.272499998	7.52783835277e-07	-3.41060513165e-14	3.66887289984e-06
2008.9	140.382899999	3.89636350025e-07	-3.41060513165e-14	2.04888352731e-06
2009.05	98.0300249989	1.5236804511e-07	-3.41060513165e-14	9.22770503842e-07
2009.2	63.6950249994	3.2876401472e-08	-3.41060513165e-14	2.83967407672e-07
2009.35	40.9940999998	5.44888190124e-11	-3.41060513165e-14	4.90829970543e-08
2009.5	30.3020999996	4.02771482833e-11	-3.41060513165e-14	3.62812669394e-08
2009.65	20.2499999998	2.69160235766e-11	-3.41060513165e-14	2.42457009747e-08
2009.8	11.8584	1.57620139163e-11	-3.41060513165e-14	1.41982824914e-08
2009.95	5.71049999977	7.59030338582e-12	-3.41060513165e-14	6.83728767492e-09
2010.1	2.19960000012	6.99981982655e-09	0.000900000000081	3.09807239793e-09
2010.25	1.15922500016	4.66129374488e-08	0.00602500000035	8.40405780383e-09
2010.4	2.13262500018	1.36238067976e-07	0.0176250000007	2.50847008991e-08
