Proportion	Interactions	Transitivity	CPL	Assortativity
0.02086	0.0	0.0	0.0	0.0
0.0242215	1128.96	4.69487467187e-05	0.0	6.66931491845e-05
0.027583	3010.56	0.000125196657917	0.0	0.000177848397825
0.0309445	5644.8	0.000234743733594	0.0	0.000333465745923
0.034306	9031.68	0.00037558997375	0.0	0.000533545193476
0.0376675	13171.2	0.000547735378385	0.0	0.000778086740486
0.041029	18063.36	0.0007511799475	0.0	0.00106709038695
0.0443905	23708.2179486	0.000968814498552	0.00355516303609	0.00138464033078
0.047752	30105.8796261	0.00117160837505	0.0513648952234	0.00170301194924
0.0511135	37256.315783	0.00136987561617	0.167722434434	0.00203125166438
0.054475	37256.7528867	0.00125289725482	0.382251129641	0.00191848808246
0.0578365	37257.2363521	0.00112809071764	0.690717389869	0.00179652812356
0.061198	37257.7264424	0.00100621584276	1.07556886733	0.00167569873188
0.0645595	37258.1834206	0.000896903493498	1.50170086645	0.00156564546614
0.067921	37258.5675488	0.000808655558362	1.91645634384	0.0014753324995
0.0712825	37260.0428051	0.000694811004911	2.01899064364	0.00134174328813
0.074644	37262.3818327	0.00057951221806	1.79710723808	0.00119166994105
0.0780055	37265.3325626	0.000470219320097	1.3567561922	0.00103689397158
0.081367	37268.7290015	0.000357187171432	0.927271269525	0.00086984464415
0.0847285	37272.285915	0.000252186465205	0.558526406409	0.000706532186261
0.08809	37275.7180417	0.000163771518783	0.280902712631	0.000560170091904
0.0914515	37278.7400931	9.72802737631e-05	0.105288471385	0.000441175121571
0.094813	37281.0667539	5.48342959667e-05	0.0230791392861	0.000357167302251
0.0981745	37282.4126815	3.53387754448e-05	0.0061773463634	0.00031296992743
0.101536	37282.4925065	3.44825264756e-05	0.0069928960652	0.000310609557088
0.1048975	37282.4925065	3.44825264756e-05	0.00699289606519	0.000310609557088
0.108259	37282.4925065	3.44825264756e-05	0.00699289606519	0.000310609557088
0.1116205	37282.4925065	3.44825264756e-05	0.00699289606519	0.000310609557088
0.114982	37282.4925065	3.44825264756e-05	0.00699289606517	0.000310609557088
0.1183435	37282.4925065	3.44825264756e-05	0.00699289606519	0.000310609557088
0.121705	37282.4925065	3.44825264756e-05	0.00699289606517	0.000310609557088
0.1250665	37282.4925065	3.44825264756e-05	0.00699289606516	0.000310609557088
0.128428	37282.4925065	3.44825264755e-05	0.00699289606515	0.000310609557088
0.1317895	37282.4925065	3.44825264755e-05	0.00699289606516	0.000310609557088
0.135151	37282.4925065	3.44825264755e-05	0.00699289606516	0.000310609557088
0.1385125	37282.4925065	3.44825264755e-05	0.00699289606515	0.000310609557088
0.141874	37282.4925065	3.44825264755e-05	0.00699289606516	0.000310609557088
0.1452355	37282.4925065	3.44825264755e-05	0.00699289606515	0.000310609557088
0.148597	37282.4925065	3.44825264754e-05	0.00699289606514	0.000310609557088
0.1519585	37282.4925065	3.44825264754e-05	0.00699289606514	0.000310609557088
0.15532	37282.4925065	3.44825264754e-05	0.00699289606513	0.000310609557088
0.1586815	37282.4925065	3.44825264754e-05	0.00699289606514	0.000310609557088
0.162043	37282.4925065	3.44825264754e-05	0.00699289606513	0.000310609557088
0.1654045	37282.4925065	3.44825264754e-05	0.00699289606514	0.000310609557088
0.168766	37282.4925065	3.44825264754e-05	0.00699289606513	0.000310609557088
0.1721275	37282.4925065	3.44825264753e-05	0.00699289606513	0.000310609557088
0.175489	37282.4925065	3.44825264753e-05	0.00699289606513	0.000310609557088
0.1788505	37282.4925065	3.44825264753e-05	0.00699289606513	0.000310609557088
0.182212	37282.4925065	3.44825264753e-05	0.00699289606513	0.000310609557088
0.1855735	37282.2668361	2.67790092761e-05	0.0117299776904	0.000244304640862
0.188935	37281.7088691	8.77817901922e-05	0.0294426994227	0.000181531330704
0.1922965	37280.9035993	0.000291353789723	0.0636660770533	0.000236941305817
0.195658	37279.936018	0.000674778917205	0.115193296044	0.000478958021559
0.1990195	37278.8911141	0.00123876207081	0.182075711529	0.000929776709445
0.202381	37277.8538741	0.00194742913756	0.25962284831	0.00156536437715
0.2057425	37276.9092821	0.00272832699329	0.340402400862	0.00231545980849
0.209104	37276.1423199	0.0034724235027	0.41424023333	0.00306357356346
0.2124655	37275.6379668	0.0040341075193	0.46822037953	0.0036469879782
0.215827	37275.4811997	0.00423118888547	0.486685042948	0.003856757165
0.2191885	37275.4811997	0.00423118888547	0.486685042948	0.003856757165
0.22255	37275.4811997	0.00423118888547	0.486685042948	0.003856757165
0.2259115	37275.4811997	0.00423118888547	0.486685042948	0.003856757165
0.229273	37275.4811997	0.00423118888547	0.486685042948	0.003856757165
0.2326345	37275.4811997	0.00423118888547	0.486685042948	0.003856757165
0.235996	37275.4811997	0.00423118888547	0.486685042948	0.003856757165
0.2393575	37275.3828636	0.00417281829676	0.480326843843	0.0038049236073
0.242719	37274.4952155	0.00370231511182	0.42874217283	0.00338578875602
0.2460805	37272.9985423	0.00300407697045	0.351559271382	0.00276128203751
0.249442	37271.0731203	0.00222814134701	0.264866853389	0.00206362750419
0.2528035	37268.8992149	0.00149018555046	0.181214105153	0.00139534383455
0.256165	37266.6570808	0.000871526724324	0.109610685393	0.000829244333121
0.2595265	37264.5269618	0.00041912184673	0.0555267252419	0.000408436930506
0.262888	37262.6890911	0.000145567730378	0.0208928282482	0.000146324183367
0.2662495	37261.0044019	2.87693640294e-05	0.00410007037486	2.6584354501e-05
0.269611	37258.9587106	1.11317581304e-05	-2.55795384874e-14	2.95268492343e-06
0.2729725	37256.8531298	8.54163158981e-06	-2.55795384874e-14	2.58506128686e-06
