Year	Interactions	Transitivity	CPL	Assortativity
1999.00001	0.0	0.0	0.0	0.0
1999.1500115	386.1225	0.00032814403402	0.0225	0.000595847648861
1999.300013	1029.66	0.000875050757385	0.0599999999999	0.00158892706362
1999.4500145	1930.6125	0.0016407201701	0.1125	0.00297923824429
1999.600016	3088.98	0.00262515227215	0.18	0.00476678119087
1999.7500175	4504.76249999	0.00382834706356	0.2625	0.00695155590335
1999.900019	6177.95999999	0.00525030454431	0.36	0.00953356238174
2000.0500205	7888.02683593	0.00650516665413	0.4725	0.0117980716667
2000.200022	9277.53320987	0.00705917402926	0.599999999999	0.0127633725654
2000.3500235	10492.2354	0.00723717772087	0.742499999999	0.0130365105686
2000.500025	9076.45289999	0.00526272033168	0.742499999999	0.0094174852932
2000.6500265	7604.468125	0.00343380707097	0.742499999999	0.00608663096871
2000.800028	6207.562725	0.00193965889451	0.742499999999	0.00339136104257
2000.9500295	4993.851	0.000881973292792	0.742499999999	0.00151338861476
2001.100031	3957.5199	0.000275540452854	0.6921	0.000472525909029
2001.2500325	3153.269025	3.88673302902e-05	0.5896	0.000141055099232
2001.400034	2654.810625	1.40198251776e-05	0.462	0.000202305259828
2001.5500355	2363.285625	9.03817011251e-06	0.330900000001	0.000262569539896
2001.700037	2064.510625	7.2612127083e-06	0.212500000001	0.000332832466054
2001.8500385	1783.460625	9.02577043877e-06	0.1176	0.000407701458843
2002.00004	1541.735625	1.38013314689e-05	0.0516000000003	0.000480414073306
2002.1500415	1312.171225	3.10651352088e-05	0.0256	0.000390666168915
2002.300043	1124.813025	6.22921359139e-05	0.0395999999996	0.000346063213442
2002.4500445	1001.493225	0.00010387619163	0.093599999999	0.000499599044739
2002.600046	895.955625	0.000155699866475	0.179999999999	0.000958325691542
2002.7500475	790.430625	0.000216973953251	0.292499999998	0.00174149977457
2002.900049	693.360225	0.000282796525015	0.422099999998	0.00278646736718
2003.0500505	602.651025	0.000331862811625	0.542024999998	0.00377557923062
2003.200052	510.523225001	0.000333392085825	0.610224999999	0.00419688835862
2003.3500535	430.925025001	0.000292808981734	0.6114	0.00395080579654
2003.500055	373.868025	0.000215306921597	0.528900000001	0.0029330080663
2003.6500565	314.460625	0.00014277856058	0.443125000001	0.00197257320809
2003.800058	257.991225001	8.26310094075e-05	0.361725000001	0.00116655735999
2003.9500595	208.835625	3.90181587669e-05	0.291000000001	0.000571255014982
2004.100061	173.974225	1.29820838132e-05	0.211100000001	0.000202313852749
2004.2500625	156.8106	1.89029785897e-06	0.134225000001	3.43345549486e-05
2004.400064	158.0715	2.14652002582e-07	0.0806250000005	1.31965219095e-06
2004.5500655	172.183725	4.88725515424e-07	0.0530250000002	1.42480066705e-06
2004.700067	187.768124999	9.27034847334e-07	0.0456249999998	1.54058013921e-06
2004.8500685	203.5854	1.50184548056e-06	0.0602249999994	1.65776586868e-06
2005.00007	218.2869	2.15030455206e-06	0.093224999999	1.76640057963e-06
2005.1500715	221.3676	2.70255955548e-06	0.118899999999	1.83607063622e-06
2005.300073	213.6879	3.03693290903e-06	0.1269	1.8597072623e-06
2005.4500745	196.0866	3.00780957935e-06	0.105525000001	1.82999315965e-06
2005.600076	174.465	2.81986981745e-06	0.0731250000005	1.77847567733e-06
2005.7500775	152.893125	2.62854958521e-06	0.0450000000005	1.72534375399e-06
2005.900079	133.096725	2.4491545012e-06	0.0234000000004	1.6748479435e-06
2006.0500805	117.712125	2.26318233943e-06	0.00922500000022	1.54393521967e-06
2006.200082	110.030725	2.03259773374e-06	0.00202500000011	1.23853149462e-06
2006.3500835	110.419725	1.79792373084e-06	1.13686837722e-14	8.82849952799e-07
2006.500085	119.197725	1.59241748595e-06	1.13686837722e-14	5.68051415816e-07
2006.6500865	129.175	1.37631823105e-06	1.13686837722e-14	3.37764278383e-07
2006.800088	139.5609	1.16861528647e-06	1.13686837722e-14	2.23836702276e-07
2006.9500895	149.498625	9.85535562613e-07	1.13686837722e-14	2.29045832605e-07
2007.100091	165.992025	7.08201792121e-07	1.13686837722e-14	5.05339065459e-07
2007.2500925	191.576024999	4.37072661937e-07	1.13686837722e-14	1.24016418053e-06
2007.400094	223.442624999	3.15647652675e-07	1.13686837722e-14	2.40076685665e-06
2007.5500955	259.790099999	4.00622951037e-07	1.13686837722e-14	3.89020928956e-06
2007.700097	300.774999999	6.95183240609e-07	1.13686837722e-14	5.74544147701e-06
2007.8500985	343.182524999	1.18644132823e-06	1.13686837722e-14	7.82997751967e-06
2008.0001	383.310524999	1.81202768972e-06	1.13686837722e-14	9.94460902385e-06
2008.1501015	388.597525	2.17025346561e-06	1.13686837722e-14	1.06258206267e-05
2008.300103	363.169125001	2.18468465613e-06	1.13686837722e-14	9.95346188335e-06
2008.4501045	310.956525002	1.77386954807e-06	1.13686837722e-14	8.00574777688e-06
2008.600106	249.688125002	1.22683630041e-06	1.13686837722e-14	5.7088949032e-06
2008.7501075	191.272500002	7.52783835349e-07	1.13686837722e-14	3.66887289995e-06
2008.900109	140.382900002	3.89636350089e-07	1.13686837722e-14	2.0488835274e-06
2009.0501105	98.0300250017	1.52368045161e-07	1.13686837722e-14	9.22770503899e-07
2009.200112	63.6950250014	3.28764015178e-08	1.13686837722e-14	2.83967407697e-07
2009.3501135	40.994100001	5.44888606457e-11	1.13686837722e-14	4.90829970591e-08
2009.500115	30.3021000008	4.02771885288e-11	1.13686837722e-14	3.62812669408e-08
2009.6501165	20.2500000007	2.691606521e-11	1.13686837722e-14	2.42457009768e-08
2009.800118	11.8584000004	1.57620555497e-11	1.13686837722e-14	1.41982824928e-08
2009.9501195	5.71050000042	7.59034640696e-12	1.13686837722e-14	6.83728767631e-09
2010.100121	2.1996000004	6.99981986818e-09	1.13686837722e-14	3.09807239932e-09
2010.2501225	1.15922500035	4.66129374835e-08	1.13686837722e-14	8.40405780383e-09
2010.400124	2.13262500046	1.36238068003e-07	1.13686837722e-14	2.50847008984e-08
2010.5501255	4.4286000005	2.8291139226e-07	1.13686837722e-14	5.20907831425e-08
2010.700127	7.56250000047	4.83113716281e-07	1.13686837722e-14	8.89528400647e-08
2010.8501285	11.3165250003	7.22931365034e-07	1.13686837722e-14	1.33109029873e-07
2011.00013	15.3095250003	9.78015407224e-07	1.13686837722e-14	1.80076129428e-07
2011.1501315	16.8825250004	1.07850306021e-06	1.13686837722e-14	1.98578320163e-07
2011.300133	16.0355250006	1.024394324e-06	1.13686837722e-14	1.88615602077e-07
2011.4501345	12.7685250006	8.15689198576e-07	1.13686837722e-14	1.5018797517e-07
2011.600136	8.84812500048	5.65243048062e-07	1.13686837722e-14	1.04074822881e-07
2011.7501375	5.44500000067	3.47841875736e-07	1.13686837722e-14	6.40460448509e-08
2011.900139	2.83140000049	1.80877775394e-07	1.13686837722e-14	3.3303943324e-08
2012.0501405	1.12140000062	7.13075845399e-08	1.13686837722e-14	1.29753917e-08
2012.200142	0.256900000386	1.56528844233e-08	1.13686837722e-14	2.98698490803e-09
2012.3501435	0.0129000005312	1.66533453694e-17	1.13686837722e-14	1.43550690918e-09
2012.500145	0.0294000004418	1.52655665886e-17	1.13686837722e-14	3.27162039543e-09
2012.6501465	0.0531250004657	1.52655665886e-17	1.13686837722e-14	5.91172902853e-09
2012.800148	0.0827250002883	1.52655665886e-17	1.13686837722e-14	9.2056053419e-09
2012.9501495	0.115500000305	1.52655665886e-17	1.13686837722e-14	1.28527944024e-08
