Year	Interactions	Transitivity	CPL	Assortativity
1999.00001	0.0	0.0	0.0	0.0
1999.1500115	1128.96	4.69487467186e-05	0.0	6.66931491843e-05
1999.300013	3010.56	0.000125196657916	0.0	0.000177848397825
1999.4500145	5644.8	0.000234743733593	0.0	0.000333465745922
1999.600016	9031.67999999	0.000375589973749	0.0	0.000533545193476
1999.7500175	13171.2	0.000547735378385	0.0	0.000778086740485
1999.900019	18063.36	0.000751179947499	0.0	0.00106709038695
2000.0500205	23852.8765234	0.000972811983967	0.00437499999991	0.00139130008177
2000.200022	30810.2320987	0.00118998160922	0.0632098765428	0.00173426576244
2000.3500235	38867.1968999	0.00141028639298	0.206399999999	0.00210099956855
2000.500025	39993.4373999	0.00131843310927	0.470399999998	0.00203362921467
2000.6500265	41252.2731249	0.00121950994229	0.849999999998	0.00196004136627
2000.800028	42541.6787249	0.00112194039964	1.3236	0.00188638602142
2000.9500295	43756.3874999	0.00103348910715	1.848	0.00181858439423
2001.100031	59838.3633997	0.000962170291364	2.1249	0.00192394457561
2001.2500325	105094.394024	0.000914652339732	2.048025	0.00229102489235
2001.400034	182744.474624	0.000896427652398	1.655625	0.00290519403348
2001.5500355	291650.114024	0.000899867719005	1.095	0.0037256177455
2001.700037	426670.025624	0.000903562126105	0.632500000002	0.00467874536302
2001.8500385	577841.652223	0.000907211600706	0.313125000001	0.00569125588527
2002.00004	730769.922223	0.000910515638933	0.148125	0.0066720100356
2002.1500415	814984.281224	0.000681022541944	0.182724999999	0.00579238983613
2002.300043	820344.699224	0.000976416464848	0.402524999997	0.0043580888886
2002.4500445	736208.811225	0.00229036438551	0.706724999996	0.00339905211904
2002.600046	617544.005625	0.00485235392063	1.06312499999	0.00388814166084
2002.7500475	502061.855625	0.00862592026663	1.48499999999	0.00620493395028
2002.900049	399000.933225	0.0133091781158	1.93859999999	0.0101640856042
2003.0500505	311069.6361	0.0174802385615	2.279025	0.0144002146216
2003.200052	237302.3836	0.0189236123384	2.296225	0.0165795850798
2003.3500535	185520.483525	0.0174280792074	2.0244	0.0159617464904
2003.500055	159253.473525	0.0127775308408	1.49640000001	0.011749053784
2003.6500565	132048.715	0.0084369182492	1.00000000001	0.00780308450409
2003.800058	106344.7521	0.00485102337196	0.585600000005	0.00452635932214
2003.9500595	84124.4216252	0.00226658481211	0.282000000004	0.00214546144367
2004.100061	65328.0622252	0.000733960798663	0.096400000002	0.000711761825249
2004.2500625	50932.1422251	9.75759783576e-05	0.0144000000006	9.80142070542e-05
2004.400064	42171.965625	1.08696642352e-05	-8.52651282912e-15	3.10702949406e-06
2004.5500655	37158.6309001	7.38803992052e-06	-8.52651282912e-15	2.40999439434e-06
2004.700067	32043.3550001	4.40546508401e-06	-8.52651282912e-15	1.74359541935e-06
2004.8500685	27255.0167251	2.20438314996e-06	-8.52651282912e-15	1.16625118407e-06
2005.00007	23158.9247251	8.84478897924e-07	-8.52651282912e-15	7.16642108051e-07
2005.1500715	23917.2177249	8.40160003605e-07	-8.52651282912e-15	8.06704049704e-07
2005.300073	29689.1957248	3.04976947925e-06	-8.52651282912e-15	1.5861047845e-06
2005.4500745	40512.6587247	8.34138398149e-06	-8.52651282912e-15	3.16776572792e-06
2005.600076	54912.7631246	1.70719397572e-05	-8.52651282912e-15	5.47077960633e-06
2005.7500775	71416.3724995	2.89348566943e-05	-8.52651282912e-15	8.32953405416e-06
2005.900079	88703.1980994	4.29811014379e-05	-8.52651282912e-15	1.15153287156e-05
2006.0500805	101422.157625	5.53247376131e-05	-8.52651282912e-15	1.41234874583e-05
