Proportion	Interactions	Transitivity	CPL	Assortativity
0.00608682529302	121	0.38961038961	2	0.356589147287
0.0195238823469	383	0.148080438757	4	0.0311226038323
0.0263779123473	514	0.161172161172	6	0.0560001743017
0.0306622004638	595	0.148916967509	6	0.112732339168
0.0334849111203	648	0.100659077292	8	-0.0635195491889
0.0349288486417	675	0.101490825688	9	-0.0660077728416
0.0368603867489	711	0.0972222222222	8	-0.0692326239772
0.0380982040901	734	0.0938430983118	8	-0.0721499052106
0.0397171969224	764	0.0918944392083	8	-0.0704267030184
0.0423724396727	813	0.096	8	-0.0618872623525
0.0433512441964	831	0.0959792477302	8	-0.0612644211082
0.0433512441964	831	0.0959792477302	8	-0.0612644211082
0.0439503079653	842	0.0931989924433	8	-0.0624574196166
0.0439503079653	842	0.0931989924433	8	-0.0624574196166
0.0440048024221	843	0.0931989924433	8	-0.0621238336379
0.0440048024221	843	0.0931989924433	8	-0.0621238336379
