Proportion	Interactions	Transitivity	CPL	Assortativity
0.00609682529302	0.0	0.0	0.0	0.0
0.00647750506431	13.7533246809	1.16881855938e-05	0.000801429093926	2.12235396153e-05
0.0068581848356	36.6755324823	3.11684949169e-05	0.00213714425047	5.65961056407e-05
0.00723886460689	68.7666234043	5.84409279692e-05	0.00400714546963	0.000106117698076
0.00761954437818	110.026597447	9.35054847508e-05	0.00641143275141	0.000169788316922
0.00800022414947	160.45545461	0.000136362165262	0.00935000609581	0.000247607962178
0.00838090392076	220.053194894	0.000187010969502	0.0128228655028	0.000339576633844
0.00876158369206	288.819818298	0.000245451897471	0.0168300109725	0.000445694331921
0.00914226346335	366.755324823	0.000311684949169	0.0213714425047	0.000565961056407
0.00952294323464	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.00990362300593	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0102843027772	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0106649825485	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0110456623198	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0114263420911	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0118070218624	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0121877016337	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.012568381405	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0129490611763	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0133297409475	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0137104207188	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0140911004901	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0144717802614	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0148524600327	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.015233139804	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0156138195753	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0159944993466	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0163751791179	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0167558588892	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0171365386605	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0175172184317	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.017897898203	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0182785779743	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0186592577456	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0190399375169	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0194206172882	453.859714469	0.000385710124597	0.0264471600996	0.000700376807304
0.0198012970595	453.175355546	0.000356590382767	0.0284395607974	0.00064559379683
0.0201819768308	451.634172358	0.000298734472137	0.033340627759	0.000537380456713
0.0205626566021	449.4636728	0.000228174042803	0.0408286404449	0.000406416179988
0.0209433363734	446.889981769	0.000157508202348	0.0504049614326	0.000276647005978
0.0213240161447	444.137841159	9.59035158402e-05	0.0613940364161	0.0001652856203
0.0217046959159	441.430609865	4.90940058362e-05	0.0729433942065	8.28113548608e-05
0.0220853756872	438.990263781	1.93811523774e-05	0.0840236467313	3.29701878566e-05
0.0224660554585	437.037395802	5.63389299192e-06	0.0934284890348	1.2774743776e-05
0.0228467352298	435.791215819	3.28862269403e-06	0.0997746992782	1.25042933977e-05
0.0232274150011	435.469550726	4.3491939844e-06	0.101502138739	1.57047537916e-05
0.0236080947724	435.469550726	4.3491939844e-06	0.101502138739	1.57047537916e-05
0.0239887745437	435.469550726	4.3491939844e-06	0.101502138739	1.57047537916e-05
0.024369454315	435.469550726	4.3491939844e-06	0.101502138739	1.57047537916e-05
0.0247501340863	435.469550726	4.3491939844e-06	0.101502138739	1.57047537916e-05
0.0251308138576	435.469550726	4.3491939844e-06	0.101502138739	1.57047537916e-05
0.0255114936289	435.469550726	4.3491939844e-06	0.101502138739	1.57047537916e-05
0.0258921734001	435.469550726	4.34919398439e-06	0.101502138739	1.57047537916e-05
0.0262728531714	435.469550726	4.34919398439e-06	0.101502138739	1.57047537916e-05
0.0266535329427	435.112099195	3.70809695169e-06	0.0948186609562	1.91276969335e-05
0.027034212714	434.281050005	2.65987117709e-06	0.0809248601763	2.8895320704e-05
0.0274148924853	433.100335914	1.80044265623e-06	0.0635275582514	4.53495892883e-05
0.0277955722566	431.693458318	1.52863544776e-06	0.0455953796604	6.80333460377e-05
0.0281762520279	430.183487254	2.04617167322e-06	0.0293587515097	9.56903134692e-05
0.0285569317992	428.693061396	3.35767151713e-06	0.0163099035332	0.000126265093266
0.0289376115705	427.344388058	5.27065322695e-06	0.00720286809176	0.000156903166276
0.0293182913418	426.259243192	7.39553311308e-06	0.00205348017402	0.000183950892516
0.029698971113	425.558971389	9.14562554887e-06	0.000139377395698	0.000202955511164
0.0300796508843	425.364485879	9.73714297063e-06	-1.70530256582e-14	0.000208665140569
0.0304603306556	425.364485879	9.73714297064e-06	-1.70530256582e-14	0.000208665140569
0.0308410104269	425.22793163	1.20107649968e-05	0.000864448939291	0.000171139344867
0.0312216901982	424.747617361	2.33816892642e-05	0.0122529557855	0.000134296963003
0.0316023699695	424.007185274	4.61198100364e-05	0.0426985868687	0.000224419402653
0.0319830497408	423.090075964	8.07461729618e-05	0.0964000342605	0.000518314414138
0.0323637295121	422.07952842	0.000126032975073	0.173221615774	0.00104331609042
