Proportion	Interactions	Transitivity	CPL	Assortativity
0.021303979472	0.0	0.0	0.0	0.0
0.0266410120399	2497.65197453	0.000103866948292	0.0	0.000147548430191
0.0319780446077	6660.40526541	0.000276978528779	0.0	0.000393462480509
0.0373150771756	12488.2598727	0.00051933474146	0.0	0.000737742150955
0.0426521097435	19981.2157962	0.000830935586336	0.0	0.00118038744153
0.0479891423113	28932.313714	0.00115100234824	0.0218394297952	0.00166040741984
0.0533261748792	39199.9762134	0.00144432948144	0.165841176742	0.00214020894675
0.0586632074471	50857.7582098	0.00173542157098	0.463146647055	0.00264335030974
0.064000240015	63945.8930576	0.0020365136391	0.915131299299	0.00318196015924
0.0693372725828	78488.2370504	0.00235432631286	1.51545401342	0.00376288400636
0.0746743051507	76988.7581323	0.00202688622982	2.17885938121	0.00340197324138
0.0800113377186	74498.3122694	0.00162641082731	2.50835658837	0.00291860283346
0.0853483702864	71406.3108955	0.00122519324068	2.51253788065	0.00239822661804
0.0906854028543	68081.0834333	0.000876273404714	2.19992128674	0.00190919919144
0.0960224354222	64869.8772949	0.000613438053671	1.57895061832	0.0015027759109
0.10135946799	61850.0871377	0.000412252471008	0.902810904431	0.00116331490762
0.106696500558	59069.1774865	0.00025090634178	0.418390315971	0.000873330353055
0.112033533126	56757.6870271	0.000137333540524	0.134405685797	0.000651716289788
0.117370565694	55134.5166228	7.24834367057e-05	0.0210924891217	0.000510187083995
0.122707598262	54406.9293144	5.0320894726e-05	0.0102048435162	0.000453277425427
0.128044630829	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.133381663397	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.138718695965	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.144055728533	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.149392761101	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.154729793669	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.160066826237	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.165403858804	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.170740891372	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.17607792394	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.181414956508	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.186751989076	54406.9293144	5.03208947259e-05	0.0102048435162	0.000453277425427
0.192089021644	54406.9293144	5.03208947258e-05	0.0102048435162	0.000453277425427
0.197426054212	54406.9293144	5.03208947258e-05	0.0102048435162	0.000453277425427
0.20276308678	54406.9293144	5.03208947258e-05	0.0102048435162	0.000453277425427
0.208100119347	54406.9293144	5.03208947258e-05	0.0102048435162	0.000453277425427
0.213437151915	54406.9293144	5.03208947258e-05	0.0102048435162	0.000453277425427
0.218774184483	54406.9293144	5.03208947258e-05	0.0102048435162	0.000453277425427
0.224111217051	54406.9293145	5.03208947258e-05	0.0102048435162	0.000453277425427
0.229448249619	53485.2321809	4.3901105281e-05	0.0185628090418	0.000343318952777
0.234785282187	51730.7670637	0.000123963991151	0.0410560100582	0.000254187751996
0.240122314755	49404.9065239	0.000357173299847	0.0799403783679	0.000301508302115
0.245459347323	46755.7256824	0.000773247850554	0.134963300487	0.000551327424172
0.25079637989	44018.0022201	0.00136496153414	0.203363617643	0.00102011428121
0.256133412458	41413.2163778	0.00208814331315	0.279871625781	0.00167476037828
0.261470445026	39149.5509562	0.0028616772218	0.356709075555	0.00243257956245
0.266807477594	37421.8913159	0.00356750236601	0.423589172336	0.00316130802276
0.272144510162	36411.8253775	0.00405061292333	0.467716576206	0.00367910429029
0.27748154273	36287.6436216	0.00411905814304	0.473787401961	0.00375454923811
0.282818575298	36287.6436216	0.00411905814304	0.473787401961	0.00375454923811
0.288155607865	36287.6436216	0.00411905814304	0.473787401961	0.00375454923811
0.293492640433	36287.6436216	0.00411905814304	0.473787401961	0.00375454923811
0.298829673001	36287.6436216	0.00411905814304	0.473787401961	0.00375454923811
0.304166705569	36287.6436216	0.00411905814304	0.473787401961	0.00375454923811
0.309503738137	36287.6436216	0.00411905814304	0.473787401961	0.00375454923811
0.314840770705	36220.7158197	0.00404057355324	0.465190577883	0.00368467043751
0.320177803273	35777.573158	0.00357181770271	0.413541477738	0.00326611086771
0.325514835841	35051.9929369	0.00288935747653	0.337782900189	0.00265450380705
0.330851868408	34135.1082626	0.00213666782124	0.253411917335	0.00197672756162
0.336188900976	33115.408047	0.00142413174485	0.17247987472	0.00133090546518
0.341525933544	32078.7370075	0.000829040316842	0.103592391325	0.000786405879181
0.346862966112	31108.2956674	0.000395592668189	0.0519093595723	0.00038384219278
0.35219999868	30284.6403555	0.000134895991321	0.0191449453253	0.000135072822827
0.357537031248	29685.6832064	2.49655401497e-05	0.00356758788682	2.32012138691e-05
0.362874063816	29324.0860128	1.02257592466e-05	2.13162820728e-14	2.51325105785e-06
0.368211096384	29100.7274983	8.67100134504e-06	2.13162820728e-14	2.30343760129e-06
0.373548128951	28757.0599462	6.6289248149e-06	2.13162820728e-14	2.00157827398e-06
0.378885161519	28332.8807161	4.54544448482e-06	2.13162820728e-14	1.65517102444e-06
0.384222194087	27867.3411974	2.74382154966e-06	2.13162820728e-14	1.30403125411e-06
0.389559226655	27398.9468094	1.42466357053e-06	2.13162820728e-14	9.80291817353e-07
0.394896259223	26772.1563926	6.73955863285e-07	2.13162820728e-14	8.04809011112e-07
